update,mean_fitness,min_fitness,max_fitness,inferiority
185,187.562,16,192,0.976885
186,187.88,16,192,0.978542
187,187.07,18,192,0.974323
188,187.617,18,192,0.977172
189,187.089,16,192,0.974422
190,188.045,25,192,0.979401
191,187.357,16,192,0.975818
192,188.001,17,192,0.979172
193,187.834,16,192,0.978302
194,187.85,15,192,0.978385
195,187.43,16,192,0.976198
196,187.216,16,192,0.975083
197,187.208,18,192,0.975042
198,187.549,16,192,0.976818
199,186.3,18,192,0.970313
200,187.846,11,192,0.978365
201,187.163,17,192,0.974807
202,187.883,19,192,0.978557
203,188.133,18,192,0.979859
204,187.373,15,192,0.975901
205,186.734,16,192,0.972573
206,187.344,12,192,0.97575
207,187.037,16,192,0.974151
208,187.763,18,192,0.977932
209,187.119,18,192,0.974578
210,188.414,25,192,0.981323
211,186.755,18,192,0.972682
212,187.77,16,192,0.977969
213,188.276,21,192,0.980604
214,187.331,18,192,0.975682
215,187.139,16,192,0.974682
216,187.571,16,192,0.976932
217,187.79,16,192,0.978073
218,187.708,16,192,0.977646
219,186.726,16,192,0.972531
220,187.988,18,192,0.979104
221,187.08,16,192,0.974375
222,187.718,16,192,0.977698
223,188.185,21,192,0.98013
224,188.079,16,192,0.979578
225,187.033,17,192,0.97413
226,186.924,16,192,0.973562
227,187.421,16,192,0.976151
228,187.428,16,192,0.976187
229,188.313,16,192,0.980797
230,187.313,16,192,0.975589
231,186.995,16,192,0.973932
232,187.698,18,192,0.977594
233,187.327,16,192,0.975661
234,187.558,22,192,0.976865
235,186.469,16,192,0.971193
236,187.73,19,192,0.97776
237,187.352,16,192,0.975792
238,187.133,19,192,0.974651
239,188.329,21,192,0.98088
240,187.749,16,192,0.977859
241,187.742,16,192,0.977823
242,187.756,16,192,0.977896
243,187.25,18,192,0.97526
244,187.785,16,192,0.978047
245,187.795,18,192,0.978099
246,187.36,18,192,0.975833
247,187.636,19,192,0.977271
248,187.586,19,192,0.97701
249,186.617,16,192,0.971964
250,187.125,18,192,0.974609
251,187.404,18,192,0.976063
252,187.054,16,192,0.97424
253,187.58,18,192,0.976979
254,187.494,16,192,0.976531
255,187.5,16,192,0.976562
256,187.72,16,192,0.977708
257,187.97,18,192,0.97901
258,187.851,21,192,0.978391
259,187.686,21,192,0.977531
260,187.837,17,192,0.978318
261,188.568,19,192,0.982125
262,188.13,16,192,0.979844
263,187.152,17,192,0.97475
264,187.198,11,192,0.97499
265,187.261,18,192,0.975318
266,187.921,17,192,0.978755
267,187.563,16,192,0.976891
268,187.449,18,192,0.976297
269,188.77,20,192,0.983177
270,187.577,16,192,0.976964
271,187.891,16,192,0.978599
272,187.337,17,192,0.975714
273,187.575,18,192,0.976953
274,188.158,19,192,0.97999
275,187.711,18,192,0.977661
276,187.74,19,192,0.977812
277,188.514,21,192,0.981844
278,187.021,18,192,0.974068
279,187.225,16,192,0.97513
280,188.062,18,192,0.97949
281,187.349,15,192,0.975776
282,188.298,16,192,0.980719
283,186.761,19,192,0.972714
284,188.414,16,192,0.981323
285,188.102,17,192,0.979698
286,188.03,16,192,0.979323
287,187.942,16,192,0.978865
288,187.719,16,192,0.977703
289,188.167,18,208,0.904649
290,187.954,18,208,0.903625
291,187.548,16,208,0.901673
292,188.644,16,208,0.906942
293,189.837,19,208,0.912678
294,191.768,18,208,0.921962
295,199.212,16,208,0.95775
296,203.448,27,208,0.978115
297,204.679,16,208,0.984034
298,203.751,11,208,0.979572
299,204.116,16,208,0.981327
300,203.316,16,208,0.977481
301,202.93,16,208,0.975625
302,204.335,16,208,0.98238
303,203.711,16,208,0.97938
304,204.912,16,208,0.985154
305,204.074,26,208,0.981125
306,203.409,16,208,0.977928
307,204.125,16,208,0.98137
308,203.381,16,208,0.977793
309,204.201,22,208,0.981736
310,203.315,16,208,0.977476
311,203.409,16,208,0.977928
312,203.61,16,208,0.978894
313,204.483,23,208,0.983091
314,203.373,16,208,0.977755
315,204.386,19,208,0.982625
316,203.834,16,208,0.979971
317,202.78,16,208,0.974904
318,203.201,16,208,0.976928
319,203.502,16,208,0.978375
320,204.08,16,208,0.981154
321,203.457,17,208,0.978159
322,203.361,16,208,0.977697
323,203.248,16,208,0.977154
324,203.397,16,208,0.97787
325,203.201,16,208,0.976928
326,204.383,16,208,0.982611
327,204.421,16,208,0.982793
328,203.399,18,208,0.97788
329,203.819,16,208,0.979899
330,202.922,16,208,0.975587
331,203.828,17,208,0.979942
332,202.969,16,208,0.975812
333,203.68,18,208,0.979231
334,203.605,16,208,0.97887
335,204.156,24,208,0.981519
336,203.028,16,208,0.976096
337,204.78,29,208,0.984519
338,203.963,16,208,0.980591
339,203.552,16,208,0.978615
340,203.617,19,208,0.978928
341,203.837,27,208,0.979986
342,203.796,19,208,0.979788
343,204.393,21,208,0.982659
344,203.464,16,208,0.978192
345,203.863,18,208,0.980111
346,203.654,16,208,0.979106
347,203.315,13,208,0.977476
348,203.452,16,208,0.978135
349,204.25,16,208,0.981971
350,204.131,16,208,0.981399
351,203.942,22,208,0.98049
352,203.921,17,208,0.980389
353,203.158,16,208,0.976721
354,203.743,16,208,0.979534
355,203.815,16,208,0.97988
356,203.268,11,208,0.97725
357,203.957,16,208,0.980563
358,204.032,16,208,0.980923
359,204.39,16,208,0.982644
360,203.787,16,208,0.979745
361,203.418,16,208,0.977971
362,203.743,18,208,0.979534
363,204.147,25,208,0.981476
364,203.05,16,208,0.976202
365,204.602,25,208,0.983663
366,203.811,16,208,0.979861
367,204.108,24,208,0.981288
368,204.578,16,208,0.983548
369,203.876,16,208,0.980173
370,203.639,17,208,0.979034
371,204.264,16,208,0.982038
372,204.166,16,208,0.981567
373,204.77,23,208,0.984471
374,203.412,15,208,0.977942
375,203.977,18,208,0.980659
376,203.866,16,208,0.980125
377,203.299,16,208,0.977399
378,204.094,16,208,0.981221
379,204.344,23,208,0.982423
380,203.89,15,208,0.98024
381,204.082,13,208,0.981163
382,203.988,18,208,0.980712
383,204.708,17,208,0.984173
384,204.134,23,208,0.981413
385,202.954,16,208,0.97574
386,203.8,23,208,0.979808
387,203.297,16,208,0.977389
388,203.106,16,208,0.976471
389,203.4,20,208,0.977885
390,203.617,18,208,0.978928
391,203.996,26,208,0.98075
