update,mean_fitness,min_fitness,max_fitness,inferiority
185,157.403,18,160,0.983769
186,156.91,16,160,0.980688
187,156.368,16,160,0.9773
188,156.72,16,160,0.9795
189,157.163,21,160,0.982269
190,157.379,18,160,0.983619
191,157.079,19,160,0.981744
192,157.131,59,160,0.982069
193,156.58,14,160,0.978625
194,155.999,14,160,0.974994
195,156.593,16,160,0.978706
196,156.68,16,160,0.97925
197,156.977,19,160,0.981106
198,156.479,16,160,0.977994
199,157.281,16,160,0.983006
200,157.328,22,160,0.9833
201,156.268,16,160,0.976675
202,156.676,14,160,0.979225
203,157.148,16,160,0.982175
204,156.575,15,160,0.978594
205,156.883,16,160,0.980519
206,156.843,16,160,0.980269
207,156.742,16,160,0.979638
208,156.541,16,160,0.978381
209,156.603,19,160,0.978769
210,157.061,16,160,0.981631
211,156.973,16,160,0.981081
212,157.427,16,160,0.983919
213,156.965,16,160,0.981031
214,157.256,19,160,0.98285
215,157.041,16,160,0.981506
216,156.32,14,160,0.977
217,157.365,16,160,0.983531
218,156.86,16,160,0.980375
219,156.676,16,160,0.979225
220,156.006,15,160,0.975038
221,157.364,18,160,0.983525
222,156.594,16,160,0.978712
223,156.404,16,160,0.977525
224,156.318,16,160,0.976988
225,157.605,16,160,0.985031
226,156.505,16,160,0.978156
227,157.014,16,160,0.981337
228,156.505,16,160,0.978156
229,157.325,16,176,0.893892
230,157.193,15,176,0.893142
231,157.288,16,176,0.893682
232,157.913,16,176,0.897233
233,160.124,16,176,0.909795
234,165.097,16,176,0.938051
235,171.583,16,176,0.974903
236,172.507,16,176,0.980153
237,171.559,16,176,0.974767
238,172.961,16,176,0.982733
239,172.589,21,176,0.980619
240,172.424,16,176,0.979682
241,172.54,16,176,0.980341
242,172.052,17,176,0.977568
243,172.526,16,176,0.980261
244,172.01,16,176,0.97733
245,171.783,16,176,0.97604
246,171.762,16,176,0.97592
247,172.19,16,176,0.978352
248,171.859,19,176,0.976472
249,172.299,16,176,0.978972
250,171.937,16,192,0.895505
251,171.583,16,192,0.893661
252,172.125,15,192,0.896484
253,171.699,16,192,0.894266
254,174.216,16,192,0.907375
255,175.852,16,192,0.915896
256,182.267,16,192,0.949307
257,187.051,11,192,0.974224
258,188.776,99,192,0.983208
259,188.524,20,192,0.981896
260,188.649,19,192,0.982547
261,188.286,16,192,0.980656
262,188.075,15,192,0.979557
263,188.89,21,192,0.983802
264,188.082,13,192,0.979594
265,188.321,13,192,0.980839
266,188.072,17,192,0.979542
267,188.568,16,192,0.982125
268,188.093,19,192,0.979651
269,188.766,18,192,0.983156
270,187.791,16,192,0.978078
271,187.598,17,192,0.977073
272,188.994,17,192,0.984344
273,188.184,16,192,0.980125
274,188.914,24,192,0.983927
275,188.279,16,192,0.98062
276,188.853,21,192,0.983609
277,188.578,18,192,0.982177
278,188.52,16,192,0.981875
279,188.618,20,192,0.982385
280,187.628,16,192,0.977229
281,188.209,16,192,0.980255
282,188.374,17,192,0.981115
283,188.271,20,192,0.980578
284,188.057,16,192,0.979464
285,188.66,16,192,0.982604
286,189.06,19,192,0.984688
287,189.001,128,192,0.98438
288,188.246,18,192,0.980448
289,188.191,16,192,0.980161
290,189.035,16,192,0.984557
291,188.17,16,192,0.980052
292,188.128,16,192,0.979833
293,187.654,16,192,0.977365
294,188.393,16,192,0.981214
295,188.688,20,192,0.98275
296,188.336,20,192,0.980917
297,188.288,17,192,0.980667
298,188.143,17,192,0.979911
299,188.643,16,192,0.982516
300,188.059,16,192,0.979474
301,188.108,16,192,0.979729
302,188.351,27,192,0.980995
303,188.283,16,192,0.980641
304,188.918,138,192,0.983948
305,188.64,20,192,0.9825
306,189.092,26,192,0.984854
307,187.835,16,192,0.978307
308,187.936,16,192,0.978833
309,188.197,16,192,0.980193
310,188.328,17,192,0.980875
311,187.851,16,192,0.978391
312,188.606,12,192,0.982323
313,188.336,18,192,0.980917
314,188.991,17,192,0.984328
315,188.456,16,192,0.981542
316,188.273,16,192,0.980589
317,188.316,15,192,0.980812
318,188.066,9,192,0.97951
319,188.335,25,192,0.980911
320,188.667,23,192,0.982641
321,188.29,16,192,0.980677
322,187.76,14,192,0.977917
323,188.485,16,192,0.981693
324,188.394,16,192,0.981219
325,188.32,16,192,0.980833
326,188.56,19,192,0.982083
327,187.965,16,192,0.978984
328,188.726,14,192,0.982948
329,188.368,16,192,0.981083
330,188.155,16,192,0.979974
331,188.204,16,192,0.980229
332,188.378,16,192,0.981135
333,188.25,16,192,0.980469
334,188.593,16,192,0.982255
335,188.133,16,192,0.979859
336,188.531,16,192,0.981932
337,188.115,16,192,0.979766
338,188.219,16,192,0.980307
339,188.557,18,192,0.982068
340,188.794,16,192,0.983302
341,188.043,16,192,0.979391
342,187.706,16,192,0.977635
343,188.099,16,192,0.979682
344,188.094,19,192,0.979656
345,187.89,16,192,0.978594
346,188.935,103,192,0.984036
347,187.734,16,192,0.977781
348,187.997,18,192,0.979151
349,188.737,118,192,0.983005
350,187.697,16,192,0.977589
351,188.031,12,192,0.979328
352,188.664,24,192,0.982625
353,189.026,18,192,0.98451
354,188.106,16,192,0.979719
355,188.396,16,192,0.981229
356,188.587,15,192,0.982224
357,188.505,18,192,0.981797
358,188.816,16,192,0.983417
359,187.87,16,192,0.97849
360,188.504,18,192,0.981792
361,188.28,17,192,0.980625
362,188.952,96,192,0.984125
363,187.628,16,192,0.977229
364,188.721,17,192,0.982922
365,187.884,16,192,0.978563
366,188.076,15,192,0.979563
367,188.732,23,192,0.982979
368,188.68,16,192,0.982708
369,188.248,27,192,0.980458
370,188.741,19,192,0.983026
371,189.098,116,192,0.984885
372,188.873,82,192,0.983714
373,188.624,19,192,0.982417
374,188.771,20,192,0.983182
375,188.179,16,192,0.980099
376,187.808,16,192,0.978167
377,188.563,16,192,0.982099
378,188.605,16,192,0.982318
379,187.964,19,192,0.978979
380,188.71,23,192,0.982865
381,188.308,18,192,0.980771
382,188.036,16,192,0.979354
383,187.723,15,192,0.977724
384,188.693,20,192,0.982776
385,188.099,23,192,0.979682
386,188.197,20,192,0.980193
387,188.798,18,192,0.983323
388,187.867,16,192,0.978474
389,188.457,16,192,0.981547
390,189.267,26,192,0.985766
391,188.564,18,192,0.982104
392,188.277,16,192,0.980609
393,188.744,21,192,0.983042
394,188.71,95,192,0.982865
395,188.448,18,192,0.9815
396,188.499,16,192,0.981766
397,189.069,16,192,0.984734
398,187.943,23,192,0.97887
399,189.051,112,192,0.984641
400,188.508,17,192,0.981812
401,188.397,16,192,0.981234
402,188.809,27,192,0.98338
403,187.801,16,192,0.97813
404,187.868,20,192,0.978479
405,188.234,16,192,0.980385
406,188.439,16,192,0.981453
407,188.295,23,192,0.980703
408,188.801,28,192,0.983339
409,188.883,17,192,0.983766
410,187.721,16,192,0.977714
411,188.186,13,192,0.980135
412,188.541,16,192,0.981984
413,188.372,16,192,0.981104
414,187.98,13,192,0.979062
415,188.515,16,192,0.981849
416,189.282,19,192,0.985844
